Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
410	0.2	-5.e-002	7.5e-002	4.3927e-004
411	0.275	-5.e-002	0.1	5.9994e-004
412	0.25	-5.e-002	7.5e-002	5.4125e-004
413	0.325	-5.e-002	0.1	7.0642e-004
414	0.3	-5.e-002	7.5e-002	6.4711e-004
415	0.375	-5.e-002	0.1	8.1657e-004
416	0.35	-5.e-002	7.5e-002	7.5649e-004
417	0.425	-5.e-002	0.1	9.3013e-004
418	0.4	-5.e-002	7.5e-002	8.6919e-004
419	0.475	-5.e-002	0.1	1.0468e-003
420	0.45	-5.e-002	7.5e-002	9.8496e-004
421	0.525	-5.e-002	0.1	1.1662e-003
422	0.5	-5.e-002	7.5e-002	1.1036e-003
423	0.575	-5.e-002	0.1	1.2881e-003
424	0.55	-5.e-002	7.5e-002	1.2247e-003
425	0.625	-5.e-002	0.1	1.412e-003
426	0.6	-5.e-002	7.5e-002	1.348e-003
427	0.675	-5.e-002	0.1	1.5376e-003
428	0.65	-5.e-002	7.5e-002	1.4731e-003
429	0.725	-5.e-002	0.1	1.6645e-003
430	0.7	-5.e-002	7.5e-002	1.5996e-003
431	0.775	-5.e-002	0.1	1.7921e-003
432	0.75	-5.e-002	7.5e-002	1.7271e-003
433	0.825	-5.e-002	0.1	1.9202e-003
434	0.8	-5.e-002	7.5e-002	1.8552e-003
435	0.875	-5.e-002	0.1	2.0481e-003
436	0.85	-5.e-002	7.5e-002	1.9833e-003
437	0.925	-5.e-002	0.1	2.1753e-003
438	0.9	-5.e-002	7.5e-002	2.1111e-003
439	0.975	-5.e-002	0.1	2.3014e-003
440	0.95	-5.e-002	7.5e-002	2.238e-003
441	1.	-2.5e-002	0.1	2.3625e-003
442	1.	-5.e-002	7.5e-002	2.3629e-003
443	1.	2.5e-002	0.1	2.3705e-003
444	1.	0.	7.5e-002	2.3641e-003
445	0.975	5.e-002	0.1	2.3208e-003
446	1.	5.e-002	7.5e-002	2.3797e-003
447	0.925	5.e-002	0.1	2.2021e-003
448	0.95	5.e-002	7.5e-002	2.2602e-003
449	0.875	5.e-002	0.1	2.0814e-003
450	0.9	5.e-002	7.5e-002	2.1406e-003
451	0.825	5.e-002	0.1	1.959e-003
452	0.85	5.e-002	7.5e-002	2.0189e-003
453	0.775	5.e-002	0.1	1.8357e-003
454	0.8	5.e-002	7.5e-002	1.8959e-003
455	0.725	5.e-002	0.1	1.7119e-003
456	0.75	5.e-002	7.5e-002	1.7722e-003
457	0.675	5.e-002	0.1	1.5881e-003
458	0.7	5.e-002	7.5e-002	1.6483e-003
459	0.625	5.e-002	0.1	1.4647e-003
460	0.65	5.e-002	7.5e-002	1.5245e-003
461	0.575	5.e-002	0.1	1.3421e-003
462	0.6	5.e-002	7.5e-002	1.4012e-003
463	0.525	5.e-002	0.1	1.2206e-003
464	0.55	5.e-002	7.5e-002	1.2789e-003
465	0.475	5.e-002	0.1	1.1006e-003
466	0.5	5.e-002	7.5e-002	1.1578e-003
