Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
397	0.1	-2.5e-002	0.1	7.732e+007
398	0.1	2.5e-002	0.1	8.3272e+007
399	5.e-002	-2.5e-002	0.1	1.0958e+008
400	5.e-002	2.5e-002	0.1	9.7299e+007
401	2.5e-002	0.	0.1	1.0204e+008
402	7.5e-002	-5.e-002	0.1	1.6728e+008
403	2.5e-002	-5.e-002	0.1	1.8319e+008
404	5.e-002	-5.e-002	7.5e-002	1.9694e+008
405	0.125	-5.e-002	0.1	1.543e+008
406	0.1	-5.e-002	7.5e-002	1.5969e+008
407	0.175	-5.e-002	0.1	1.4985e+008
408	0.15	-5.e-002	7.5e-002	1.5487e+008
409	0.225	-5.e-002	0.1	1.3986e+008
410	0.2	-5.e-002	7.5e-002	1.4451e+008
411	0.275	-5.e-002	0.1	1.3104e+008
412	0.25	-5.e-002	7.5e-002	1.3573e+008
413	0.325	-5.e-002	0.1	1.2199e+008
414	0.3	-5.e-002	7.5e-002	1.2668e+008
415	0.375	-5.e-002	0.1	1.1301e+008
416	0.35	-5.e-002	7.5e-002	1.1769e+008
417	0.425	-5.e-002	0.1	1.0401e+008
418	0.4	-5.e-002	7.5e-002	1.0869e+008
419	0.475	-5.e-002	0.1	9.5007e+007
420	0.45	-5.e-002	7.5e-002	9.9688e+007
421	0.525	-5.e-002	0.1	8.6008e+007
422	0.5	-5.e-002	7.5e-002	9.0689e+007
423	0.575	-5.e-002	0.1	7.701e+007
424	0.55	-5.e-002	7.5e-002	8.169e+007
425	0.625	-5.e-002	0.1	6.8012e+007
426	0.6	-5.e-002	7.5e-002	7.2691e+007
427	0.675	-5.e-002	0.1	5.9014e+007
428	0.65	-5.e-002	7.5e-002	6.3693e+007
429	0.725	-5.e-002	0.1	5.0017e+007
430	0.7	-5.e-002	7.5e-002	5.4695e+007
431	0.775	-5.e-002	0.1	4.1015e+007
432	0.75	-5.e-002	7.5e-002	4.5701e+007
433	0.825	-5.e-002	0.1	3.2018e+007
434	0.8	-5.e-002	7.5e-002	3.6698e+007
435	0.875	-5.e-002	0.1	2.2915e+007
436	0.85	-5.e-002	7.5e-002	2.7741e+007
437	0.925	-5.e-002	0.1	1.2381e+007
438	0.9	-5.e-002	7.5e-002	1.8504e+007
439	0.975	-5.e-002	0.1	3.7491e+006
440	0.95	-5.e-002	7.5e-002	6.5451e+006
441	1.	-2.5e-002	0.1	3.9947e+006
442	1.	-5.e-002	7.5e-002	2.4019e+006
443	1.	2.5e-002	0.1	2.0287e+007
444	1.	0.	7.5e-002	9.0606e+006
445	0.975	5.e-002	0.1	1.6301e+007
446	1.	5.e-002	7.5e-002	3.2522e+007
447	0.925	5.e-002	0.1	1.3448e+007
448	0.95	5.e-002	7.5e-002	1.069e+007
449	0.875	5.e-002	0.1	2.2561e+007
450	0.9	5.e-002	7.5e-002	1.745e+007
451	0.825	5.e-002	0.1	3.1541e+007
452	0.85	5.e-002	7.5e-002	2.6258e+007
453	0.775	5.e-002	0.1	4.0522e+007
454	0.8	5.e-002	7.5e-002	3.5347e+007
455	0.725	5.e-002	0.1	4.9509e+007
456	0.75	5.e-002	7.5e-002	4.4338e+007
