Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
402	7.5e-002	-5.e-002	0.1	5.6574e+007
403	2.5e-002	-5.e-002	0.1	5.3596e+007
404	5.e-002	-5.e-002	7.5e-002	5.9921e+007
405	0.125	-5.e-002	0.1	5.2368e+007
406	0.1	-5.e-002	7.5e-002	5.389e+007
407	0.175	-5.e-002	0.1	4.9546e+007
408	0.15	-5.e-002	7.5e-002	5.108e+007
409	0.225	-5.e-002	0.1	4.6478e+007
410	0.2	-5.e-002	7.5e-002	4.7963e+007
411	0.275	-5.e-002	0.1	4.3489e+007
412	0.25	-5.e-002	7.5e-002	4.4983e+007
413	0.325	-5.e-002	0.1	4.0486e+007
414	0.3	-5.e-002	7.5e-002	4.1978e+007
415	0.375	-5.e-002	0.1	3.7487e+007
416	0.35	-5.e-002	7.5e-002	3.8979e+007
417	0.425	-5.e-002	0.1	3.4487e+007
418	0.4	-5.e-002	7.5e-002	3.5979e+007
419	0.475	-5.e-002	0.1	3.1488e+007
420	0.45	-5.e-002	7.5e-002	3.2979e+007
421	0.525	-5.e-002	0.1	2.8488e+007
422	0.5	-5.e-002	7.5e-002	2.998e+007
423	0.575	-5.e-002	0.1	2.5489e+007
424	0.55	-5.e-002	7.5e-002	2.698e+007
425	0.625	-5.e-002	0.1	2.2489e+007
426	0.6	-5.e-002	7.5e-002	2.3981e+007
427	0.675	-5.e-002	0.1	1.949e+007
428	0.65	-5.e-002	7.5e-002	2.0981e+007
429	0.725	-5.e-002	0.1	1.6492e+007
430	0.7	-5.e-002	7.5e-002	1.7982e+007
431	0.775	-5.e-002	0.1	1.3492e+007
432	0.75	-5.e-002	7.5e-002	1.4984e+007
433	0.825	-5.e-002	0.1	1.0497e+007
434	0.8	-5.e-002	7.5e-002	1.1982e+007
435	0.875	-5.e-002	0.1	7.4682e+006
436	0.85	-5.e-002	7.5e-002	8.9963e+006
437	0.925	-5.e-002	0.1	3.9913e+006
438	0.9	-5.e-002	7.5e-002	5.9011e+006
439	0.975	-5.e-002	0.1	1.1856e+006
440	0.95	-5.e-002	7.5e-002	2.0166e+006
441	1.	-2.5e-002	0.1	1.2119e+006
442	1.	-5.e-002	7.5e-002	7.625e+005
443	1.	2.5e-002	0.1	6.6128e+006
444	1.	0.	7.5e-002	2.7829e+006
445	0.975	5.e-002	0.1	5.4033e+006
446	1.	5.e-002	7.5e-002	1.0786e+007
447	0.925	5.e-002	0.1	4.4266e+006
448	0.95	5.e-002	7.5e-002	3.6282e+006
449	0.875	5.e-002	0.1	7.4929e+006
450	0.9	5.e-002	7.5e-002	6.0703e+006
451	0.825	5.e-002	0.1	1.0507e+007
452	0.85	5.e-002	7.5e-002	9.0006e+006
453	0.775	5.e-002	0.1	1.351e+007
454	0.8	5.e-002	7.5e-002	1.2032e+007
455	0.725	5.e-002	0.1	1.6509e+007
456	0.75	5.e-002	7.5e-002	1.5029e+007
457	0.675	5.e-002	0.1	1.9508e+007
458	0.7	5.e-002	7.5e-002	1.8029e+007
459	0.625	5.e-002	0.1	2.2507e+007
460	0.65	5.e-002	7.5e-002	2.1028e+007
461	0.575	5.e-002	0.1	2.5506e+007
462	0.6	5.e-002	7.5e-002	2.4027e+007
463	0.525	5.e-002	0.1	2.8506e+007
464	0.55	5.e-002	7.5e-002	2.7027e+007
465	0.475	5.e-002	0.1	3.1505e+007
466	0.5	5.e-002	7.5e-002	3.0027e+007
467	0.425	5.e-002	0.1	3.4505e+007
468	0.45	5.e-002	7.5e-002	3.3026e+007
469	0.375	5.e-002	0.1	3.7505e+007
470	0.4	5.e-002	7.5e-002	3.6026e+007
471	0.325	5.e-002	0.1	4.0504e+007
472	0.35	5.e-002	7.5e-002	3.9026e+007
473	0.275	5.e-002	0.1	4.3509e+007
474	0.3	5.e-002	7.5e-002	4.2025e+007
475	0.225	5.e-002	0.1	4.6489e+007
476	0.25	5.e-002	7.5e-002	4.5032e+007
477	0.175	5.e-002	0.1	4.9603e+007
478	0.2	5.e-002	7.5e-002	4.8002e+007
479	0.125	5.e-002	0.1	5.2181e+007
480	0.15	5.e-002	7.5e-002	5.1179e+007
481	7.5e-002	5.e-002	0.1	5.6168e+007
482	0.1	5.e-002	7.5e-002	5.3768e+007
483	2.5e-002	5.e-002	0.1	5.213e+007
484	5.e-002	5.e-002	7.5e-002	6.0491e+007
485	0.	2.5e-002	0.1	2.6759e+007
486	0.	5.e-002	7.5e-002	4.5206e+007
487	0.	-2.5e-002	0.1	2.7248e+007
488	0.	0.	7.5e-002	1.1557e+007
489	0.	-5.e-002	7.5e-002	4.6266e+007
490	0.	0.	2.5e-002	1.1557e+007
491	0.	-2.5e-002	5.e-002	2.5534e+007
492	0.	2.5e-002	5.e-002	1.6482e+007
493	0.	-2.5e-002	0.	2.7248e+007
494	0.	2.5e-002	0.	2.6759e+007
495	0.	-5.e-002	2.5e-002	4.6266e+007
496	2.5e-002	-5.e-002	0.	5.3596e+007
497	2.5e-002	-5.e-002	5.e-002	5.2095e+007
498	0.	5.e-002	2.5e-002	4.5206e+007
499	2.5e-002	5.e-002	0.	5.213e+007
500	2.5e-002	5.e-002	5.e-002	4.8694e+007
501	0.925	5.e-002	5.e-002	4.8158e+006
502	0.95	5.e-002	2.5e-002	3.6282e+006
503	0.975	5.e-002	5.e-002	6.1087e+006
504	0.875	5.e-002	5.e-002	7.5768e+006
505	0.9	5.e-002	2.5e-002	6.0703e+006
506	0.825	5.e-002	5.e-002	1.0526e+007
507	0.85	5.e-002	2.5e-002	9.0006e+006
508	0.775	5.e-002	5.e-002	1.3552e+007
509	0.8	5.e-002	2.5e-002	1.2032e+007
510	0.725	5.e-002	5.e-002	1.6549e+007
511	0.75	5.e-002	2.5e-002	1.5029e+007
512	0.675	5.e-002	5.e-002	1.9549e+007
513	0.7	5.e-002	2.5e-002	1.8029e+007
514	0.625	5.e-002	5.e-002	2.2549e+007
